ID,Comment,Label,Subject
1,สอนเข้าใจง่าย เหมาะกับผู้เริ่มต้น,Positive,การเขียนโปรแกรมภาษาคอมพิวเตอร์
2,อาจารย์อธิบายละเอียด,Positive,การเขียนโปรแกรมภาษาคอมพิวเตอร์
3,ตัวอย่างในห้องเรียนช่วยเข้าใจการทำงานของโค้ด,Positive,การเขียนโปรแกรมภาษาคอมพิวเตอร์
4,สนุกกับการได้ลองเขียนโปรแกรมใหม่ๆ,Positive,การเขียนโปรแกรมภาษาคอมพิวเตอร์
5,ช่วยพัฒนาความคิดเชิงตรรกะ,Positive,การเขียนโปรแกรมภาษาคอมพิวเตอร์
6,อาจารย์ตอบคำถามได้ชัดเจน,Positive,การเขียนโปรแกรมภาษาคอมพิวเตอร์
7,สื่อการสอนน่าสนใจ,Positive,การเขียนโปรแกรมภาษาคอมพิวเตอร์
8,ได้เรียนรู้การใช้งาน IDE,Positive,การเขียนโปรแกรมภาษาคอมพิวเตอร์
9,เพื่อนร่วมคลาสช่วยกันแก้ไขข้อผิดพลาด,Positive,การเขียนโปรแกรมภาษาคอมพิวเตอร์
10,ได้สร้างโปรเจกต์จริง,Positive,การเขียนโปรแกรมภาษาคอมพิวเตอร์
11,อาจารย์ให้คำแนะนำดีมาก,Positive,การเขียนโปรแกรมภาษาคอมพิวเตอร์
12,ได้ทดลองเขียนโปรแกรมจริงในห้องเรียน,Positive,การเขียนโปรแกรมภาษาคอมพิวเตอร์
13,ท้าทายความสามารถในทางที่ดี,Positive,การเขียนโปรแกรมภาษาคอมพิวเตอร์
14,เนื้อหาครอบคลุมการเขียนโปรแกรมพื้นฐาน,Positive,การเขียนโปรแกรมภาษาคอมพิวเตอร์
15,ทำให้เข้าใจอัลกอริทึมมากขึ้น,Positive,การเขียนโปรแกรมภาษาคอมพิวเตอร์
16,มีกิจกรรมที่ช่วยสร้างความเข้าใจในทีม,Positive,การเขียนโปรแกรมภาษาคอมพิวเตอร์
17,การบ้านช่วยฝึกฝนได้ดี,Positive,การเขียนโปรแกรมภาษาคอมพิวเตอร์
18,เหมาะกับคนไม่มีพื้นฐานมาก่อน,Positive,การเขียนโปรแกรมภาษาคอมพิวเตอร์
19,อาจารย์ใช้ตัวอย่างที่เกี่ยวข้องกับชีวิตประจำวัน,Positive,การเขียนโปรแกรมภาษาคอมพิวเตอร์
20,ทำให้รู้จักการแก้ไขปัญหาเบื้องต้น,Positive,การเขียนโปรแกรมภาษาคอมพิวเตอร์
21,ได้เรียนรู้หลายภาษาพร้อมกัน,Positive,การเขียนโปรแกรมภาษาคอมพิวเตอร์
22,ทำให้เข้าใจหลักการโปรแกรมมิ่งที่ถูกต้อง,Positive,การเขียนโปรแกรมภาษาคอมพิวเตอร์
23,ได้ลองพัฒนาแอปเล็กๆ,Positive,การเขียนโปรแกรมภาษาคอมพิวเตอร์
24,อาจารย์ช่วยอธิบายเวลาไม่เข้าใจ,Positive,การเขียนโปรแกรมภาษาคอมพิวเตอร์
25,กระตุ้นให้เกิดความสนใจในสายอาชีพ,Positive,การเขียนโปรแกรมภาษาคอมพิวเตอร์
26,อธิบายเนื้อหาเร็วเกินไป,Negative,การเขียนโปรแกรมภาษาคอมพิวเตอร์
27,บทเรียนซับซ้อนสำหรับผู้เริ่มต้น,Negative,การเขียนโปรแกรมภาษาคอมพิวเตอร์
28,ตัวอย่างโค้ดบางครั้งยากเกินไป,Negative,การเขียนโปรแกรมภาษาคอมพิวเตอร์
29,การบ้านมีจำนวนมากเกินไป,Negative,การเขียนโปรแกรมภาษาคอมพิวเตอร์
30,เนื้อหาสั้นและกระชับเกินไป,Negative,การเขียนโปรแกรมภาษาคอมพิวเตอร์
31,ขาดการฝึกฝนในคลาส,Negative,การเขียนโปรแกรมภาษาคอมพิวเตอร์
32,ไม่เข้าใจคำศัพท์เฉพาะทาง,Negative,การเขียนโปรแกรมภาษาคอมพิวเตอร์
